trade_id,buy_date,sell_date,stock_code,stock_name,buy_price,sell_price,return_pct,holding_days,buy_reason,sell_reason,sell_reason_detail,return_pct_fmt
74,2020-02-28,2020-06-30,035720,카카오,34523.0,53691.0,55.5224053529531,123,리스크완화,꺾임신호,"score_gap=0.9607, challenger=083650",55.52%
75,2020-03-31,2020-07-31,068270,셀트리온,195590.0,253244.0,29.476967125108654,122,슈퍼사이클 지속,꺾임신호,"score_gap=1.2421, challenger=066970",29.48%
76,2020-03-31,2020-08-31,064350,현대로템,12450.0,15150.0,21.68674698795181,153,리스크완화,꺾임신호,"score_gap=1.1888, challenger=034020",21.69%
77,2020-08-31,2020-09-29,034020,두산에너빌리티,14275.0,11792.0,-17.394045534150614,29,슈퍼사이클 지속,꺾임신호,"score_gap=0.8116, challenger=032820",-17.39%
79,2020-04-29,2020-10-30,006800,미래에셋증권,5610.0,8370.0,49.19786096256684,184,슈퍼사이클 지속,꺾임신호,"score_gap=1.1439, challenger=006400",49.20%
78,2020-09-29,2020-10-30,032820,우리기술,1485.0,1150.0,-22.558922558922557,31,슈퍼사이클 지속,트레일링스탑,peak 대비 -22.56% 하락,-22.56%
80,2020-10-30,2020-11-30,056080,유진로봇,2660.0,2480.0,-6.766917293233088,31,슈퍼사이클 지속,꺾임신호,"score_gap=1.1872, challenger=034020",-6.77%
81,2020-11-30,2020-12-30,034020,두산에너빌리티,16167.0,13030.0,-19.40372363456424,30,슈퍼사이클 지속,교체(+15% 우위),"score_gap=0.9948, challenger=067310",-19.40%
82,2020-12-30,2021-01-29,067310,하나마이크론,7773.0,7361.0,-5.300398816415797,30,슈퍼사이클 지속,꺾임신호,"score_gap=1.1446, challenger=214450",-5.30%
83,2020-05-29,2021-02-26,028300,HLB,46115.0,30804.0,-33.20177816328743,273,슈퍼사이클 지속,트레일링스탑,peak 대비 -33.85% 하락,-33.20%
84,2021-01-29,2021-02-26,214450,파마리서치,61600.0,56200.0,-8.766233766233766,28,슈퍼사이클 지속,꺾임신호,"score_gap=1.0369, challenger=055550",-8.77%
85,2019-10-31,2021-03-31,035420,NAVER,164000.0,377000.0,129.8780487804878,517,슈퍼사이클 지속,꺾임신호,"score_gap=1.2736, challenger=272210",129.88%
