rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis,weights_snapshot
2025-02-28,셀트리온,삼성생명,"한화, 대한항공, NAVER, 에스피지, 레인보우로보틱스",꺾임신호:1,"레인보우로보틱스(277810) 72.5%, 60d; 대한항공(003490) 27.4%, 91d; NAVER(035420) 0.1%, 151d; 에스피지(058610) 0.0%, 28d; 한화(000880) 0.0%, 91d; 셀트리온(068270) 0.0%, 0d"
2025-03-31,"현대건설, 파마리서치, LG에너지솔루션","NAVER, 에스피지, 레인보우로보틱스","한화, 대한항공, 셀트리온","트레일링스탑:2, 꺾임신호:1","현대건설(000720) 66.5%, 0d; 대한항공(003490) 30.8%, 122d; LG에너지솔루션(373220) 2.7%, 0d; 한화(000880) 0.0%, 122d; 파마리서치(214450) 0.0%, 0d; 셀트리온(068270) 0.0%, 31d"
2025-04-30,미래에셋증권,셀트리온,"현대건설, 한화, 대한항공, 파마리서치, LG에너지솔루션",교체(+15% 우위):1,"현대건설(000720) 70.0%, 30d; 대한항공(003490) 27.6%, 152d; LG에너지솔루션(373220) 2.4%, 30d; 한화(000880) 0.0%, 152d; 파마리서치(214450) 0.0%, 30d; 미래에셋증권(006800) 0.0%, 0d"
2025-05-30,SK스퀘어,LG에너지솔루션,"현대건설, 한화, 대한항공, 미래에셋증권, 파마리서치",교체(+15% 우위):1,"현대건설(000720) 77.2%, 60d; 대한항공(003490) 21.3%, 182d; SK스퀘어(402340) 1.5%, 0d; 한화(000880) 0.0%, 182d; 파마리서치(214450) 0.0%, 60d; 미래에셋증권(006800) 0.0%, 30d"
2025-06-30,휴림로봇,미래에셋증권,"현대건설, 한화, 대한항공, 파마리서치, SK스퀘어",꺾임신호:1,"현대건설(000720) 79.8%, 91d; 대한항공(003490) 18.2%, 213d; SK스퀘어(402340) 2.0%, 31d; 한화(000880) 0.0%, 213d; 파마리서치(214450) 0.0%, 91d; 휴림로봇(090710) 0.0%, 0d"
2025-07-31,"한화오션, 한화시스템","대한항공, 휴림로봇","현대건설, 한화, 파마리서치, SK스퀘어","트레일링스탑:1, 꺾임신호:1","현대건설(000720) 77.1%, 122d; 한화오션(042660) 21.0%, 0d; SK스퀘어(402340) 1.9%, 62d; 한화(000880) 0.0%, 244d; 한화시스템(272210) 0.0%, 0d; 파마리서치(214450) 0.0%, 122d"
2025-08-29,"제주반도체, 디앤디파마텍","현대건설, 한화시스템","한화, 한화오션, 파마리서치, SK스퀘어","트레일링스탑:1, 꺾임신호:1","디앤디파마텍(347850) 75.5%, 0d; 한화오션(042660) 22.5%, 29d; SK스퀘어(402340) 2.0%, 91d; 제주반도체(080220) 0.0%, 0d; 한화(000880) 0.0%, 273d; 파마리서치(214450) 0.0%, 151d"
2025-09-30,한미반도체,한화,"한화오션, 제주반도체, 파마리서치, 디앤디파마텍, SK스퀘어",꺾임신호:1,"디앤디파마텍(347850) 79.5%, 32d; 한화오션(042660) 18.2%, 61d; SK스퀘어(402340) 2.2%, 123d; 제주반도체(080220) 0.0%, 32d; 한미반도체(042700) 0.0%, 0d; 파마리서치(214450) 0.0%, 183d"
2025-10-31,"레인보우로보틱스, 현대오토에버","제주반도체, 파마리서치","한화오션, 한미반도체, 디앤디파마텍, SK스퀘어","트레일링스탑:1, 꺾임신호:1","디앤디파마텍(347850) 81.1%, 63d; 한화오션(042660) 16.8%, 92d; SK스퀘어(402340) 2.1%, 154d; 현대오토에버(307950) 0.0%, 0d; 한미반도체(042700) 0.0%, 31d; 레인보우로보틱스(277810) 0.0%, 0d"
2025-11-28,"고영, 한라캐스트","한화오션, 한미반도체","레인보우로보틱스, 현대오토에버, 디앤디파마텍, SK스퀘어","트레일링스탑:1, 교체(+15% 우위):1","디앤디파마텍(347850) 87.7%, 91d; 고영(098460) 10.4%, 0d; SK스퀘어(402340) 1.9%, 182d; 현대오토에버(307950) 0.0%, 28d; 한라캐스트(125490) 0.0%, 0d; 레인보우로보틱스(277810) 0.0%, 28d"
2025-12-30,제주반도체,고영,"한라캐스트, 레인보우로보틱스, 현대오토에버, 디앤디파마텍, SK스퀘어",꺾임신호:1,"디앤디파마텍(347850) 87.3%, 123d; 제주반도체(080220) 10.2%, 0d; SK스퀘어(402340) 2.4%, 214d; 현대오토에버(307950) 0.0%, 60d; 한라캐스트(125490) 0.0%, 32d; 레인보우로보틱스(277810) 0.0%, 60d"
2026-01-30,대덕전자,현대오토에버,"제주반도체, 한라캐스트, 레인보우로보틱스, 디앤디파마텍, SK스퀘어",꺾임신호:1,"디앤디파마텍(347850) 81.3%, 154d; 제주반도체(080220) 15.2%, 31d; SK스퀘어(402340) 3.4%, 245d; 대덕전자(353200) 0.0%, 0d; 한라캐스트(125490) 0.0%, 63d; 레인보우로보틱스(277810) 0.0%, 91d"
2026-02-19,"삼성전기, 비에이치아이","한라캐스트, 대덕전자","제주반도체, 레인보우로보틱스, 디앤디파마텍, SK스퀘어","트레일링스탑:1, 꺾임신호:1","디앤디파마텍(347850) 79.5%, 174d; 제주반도체(080220) 16.9%, 51d; SK스퀘어(402340) 3.5%, 265d; 삼성전기(009150) 0.0%, 0d; 레인보우로보틱스(277810) 0.0%, 111d; 비에이치아이(083650) 0.0%, 0d"
