rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis
2024-01-31,"삼성물산, 현대로템","엘앤에프, 뉴로메카","대한항공, LIG넥스원, HD현대일렉트릭, 한화시스템","트레일링스탑:1, 꺾임신호:1"
2024-02-29,원익IPS,대한항공,"삼성물산, 현대로템, LIG넥스원, HD현대일렉트릭, 한화시스템",꺾임신호:1
2024-03-29,제주반도체,한화시스템,"삼성물산, 현대로템, LIG넥스원, 원익IPS, HD현대일렉트릭",꺾임신호:1
2024-04-30,"HL만도, 슈어소프트테크","현대로템, 제주반도체","삼성물산, LIG넥스원, 원익IPS, HD현대일렉트릭","트레일링스탑:1, 꺾임신호:1"
2024-05-31,KB금융,LIG넥스원,"삼성물산, HL만도, 원익IPS, HD현대일렉트릭, 슈어소프트테크",꺾임신호:1
2024-06-28,펩트론,원익IPS,"삼성물산, KB금융, HL만도, HD현대일렉트릭, 슈어소프트테크",꺾임신호:1
2024-07-31,"삼성생명, 리가켐바이오","펩트론, 슈어소프트테크","삼성물산, KB금융, HL만도, HD현대일렉트릭","트레일링스탑:1, 꺾임신호:1"
2024-08-30,"기아, 한미약품","HL만도, HD현대일렉트릭","삼성물산, 삼성생명, KB금융, 리가켐바이오","트레일링스탑:1, 꺾임신호:1"
2024-09-30,NAVER,KB금융,"기아, 삼성물산, 삼성생명, 한미약품, 리가켐바이오",꺾임신호:1
2024-10-31,"고영, 쎄트렉아이","기아, 삼성물산","삼성생명, NAVER, 한미약품, 리가켐바이오","트레일링스탑:1, 꺾임신호:1"
2024-11-29,"한화, 대한항공, 카카오","고영, 한미약품, 리가켐바이오","삼성생명, NAVER, 쎄트렉아이","트레일링스탑:2, 꺾임신호:1"
2024-12-30,레인보우로보틱스,카카오,"한화, 대한항공, 삼성생명, NAVER, 쎄트렉아이",꺾임신호:1
2025-01-31,에스피지,쎄트렉아이,"한화, 대한항공, 삼성생명, NAVER, 레인보우로보틱스",꺾임신호:1
2025-02-28,셀트리온,삼성생명,"한화, 대한항공, NAVER, 에스피지, 레인보우로보틱스",꺾임신호:1
